location,date,sentiment_category,cnt,sentiment_rating
United States,5/3/2020,neutral,15490,3
United States,5/3/2020,positive,24958,4
United States,5/3/2020,very negative,4196,1
United States,5/3/2020,very positive,847,5
United States,5/4/2020,negative,60232,2
United States,5/4/2020,neutral,18167,3
United States,5/4/2020,positive,28796,4
United States,5/4/2020,very negative,4546,1
United States,5/4/2020,very positive,919,5
United States,5/5/2020,negative,74700,2
United States,5/5/2020,neutral,23797,3
United States,5/5/2020,positive,43493,4
United States,5/5/2020,very negative,5122,1
United States,5/5/2020,very positive,1587,5
United States,5/6/2020,negative,77654,2
United States,5/6/2020,neutral,24224,3
United States,5/6/2020,positive,44876,4
United States,5/6/2020,very negative,5321,1
United States,5/6/2020,very positive,1829,5
United States,5/7/2020,negative,77596,2
United States,5/7/2020,neutral,24165,3
United States,5/7/2020,positive,41338,4
United States,5/7/2020,very negative,5305,1
United States,5/7/2020,very positive,1728,5
United States,5/8/2020,negative,69550,2
United States,5/8/2020,neutral,23099,3
United States,5/8/2020,positive,39888,4
United States,5/8/2020,very negative,4513,1
United States,5/8/2020,very positive,1433,5
United States,5/9/2020,negative,65576,2
United States,5/9/2020,neutral,21199,3
United States,5/9/2020,positive,35098,4
United States,5/9/2020,very negative,4645,1
United States,5/9/2020,very positive,1234,5
United States,5/10/2020,negative,52646,2
United States,5/10/2020,neutral,14832,3
United States,5/10/2020,positive,21965,4
United States,5/10/2020,very negative,3974,1
United States,5/10/2020,very positive,926,5
United States,5/11/2020,negative,56224,2
United States,5/11/2020,neutral,15995,3
United States,5/11/2020,positive,25282,4
United States,5/11/2020,very negative,4232,1
United States,5/11/2020,very positive,874,5
United States,5/12/2020,negative,73878,2
United States,5/12/2020,neutral,23159,3
United States,5/12/2020,positive,38140,4
United States,5/12/2020,very negative,5025,1
United States,5/12/2020,very positive,1075,5
United States,5/13/2020,negative,74580,2
United States,5/13/2020,neutral,23353,3
United States,5/13/2020,positive,40097,4
United States,5/13/2020,very negative,5142,1
United States,5/13/2020,very positive,1211,5
United States,5/14/2020,negative,73967,2
United States,5/14/2020,neutral,23250,3
United States,5/14/2020,positive,40518,4
United States,5/14/2020,very negative,4650,1
United States,5/14/2020,very positive,1134,5
United States,5/15/2020,negative,65416,2
United States,5/15/2020,neutral,20478,3
United States,5/15/2020,positive,35600,4
United States,5/15/2020,very negative,4402,1
United States,5/15/2020,very positive,1019,5
United States,5/16/2020,negative,47833,2
United States,5/16/2020,neutral,15298,3
United States,5/16/2020,positive,25913,4
United States,5/16/2020,very negative,3223,1
United States,5/16/2020,very positive,824,5
United States,5/17/2020,negative,46828,2
United States,5/17/2020,neutral,14582,3
United States,5/17/2020,positive,22179,4
United States,5/17/2020,very negative,3121,1
United States,5/17/2020,very positive,682,5
United States,5/18/2020,negative,54209,2
United States,5/18/2020,neutral,16798,3
United States,5/18/2020,positive,27180,4
United States,5/18/2020,very negative,3766,1
United States,5/18/2020,very positive,794,5
United States,5/19/2020,negative,70924,2
United States,5/19/2020,neutral,23229,3
United States,5/19/2020,positive,38144,4
United States,5/19/2020,very negative,4459,1
United States,5/19/2020,very positive,1069,5
United States,5/20/2020,negative,71155,2
United States,5/20/2020,neutral,22383,3
United States,5/20/2020,positive,38797,4
United States,5/20/2020,very negative,4381,1
United States,5/20/2020,very positive,1185,5
United States,5/21/2020,negative,71576,2
United States,5/21/2020,neutral,22865,3
United States,5/21/2020,positive,39791,4
United States,5/21/2020,very negative,4614,1
United States,5/21/2020,very positive,1240,5
United States,5/22/2020,negative,66079,2
United States,5/22/2020,neutral,21443,3
United States,5/22/2020,positive,37224,4
United States,5/22/2020,very negative,4359,1
United States,5/22/2020,very positive,1247,5
United States,5/23/2020,negative,53869,2
United States,5/23/2020,neutral,17289,3
United States,5/23/2020,positive,29425,4
United States,5/23/2020,very negative,3798,1
United States,5/23/2020,very positive,917,5
United States,5/24/2020,negative,47602,2
United States,5/24/2020,neutral,13374,3
United States,5/24/2020,positive,19963,4
United States,5/24/2020,very negative,3424,1
United States,5/24/2020,very positive,576,5
United States,5/25/2020,negative,50814,2
United States,5/25/2020,neutral,14027,3
United States,5/25/2020,positive,21206,4
United States,5/25/2020,very negative,4174,1
United States,5/25/2020,very positive,709,5
United States,5/26/2020,negative,53693,2
United States,5/26/2020,neutral,15593,3
United States,5/26/2020,positive,25332,4
United States,5/26/2020,very negative,3971,1
United States,5/26/2020,very positive,715,5
United States,5/27/2020,negative,61742,2
United States,5/27/2020,neutral,19877,3
United States,5/27/2020,positive,33322,4
United States,5/27/2020,very negative,4220,1
United States,5/27/2020,very positive,940,5
United States,5/28/2020,negative,63048,2
United States,5/28/2020,neutral,18897,3
United States,5/28/2020,positive,32056,4
United States,5/28/2020,very negative,4599,1
United States,5/28/2020,very positive,992,5
United States,5/29/2020,negative,60240,2
United States,5/29/2020,neutral,19090,3
United States,5/29/2020,positive,32034,4
United States,5/29/2020,very negative,4189,1
United States,5/29/2020,very positive,870,5
United States,5/30/2020,negative,53151,2
United States,5/30/2020,neutral,15220,3
United States,5/30/2020,positive,25401,4
United States,5/30/2020,very negative,4695,1
United States,5/30/2020,very positive,726,5
United States,5/31/2020,negative,47884,2
